time;ToF[cm]
1657808043.3335228;30.6
1657808043.335544;30.6
1657808043.337769;30.6
1657808043.3417947;30.6
1657808043.3439941;30.6
1657808043.34628;30.6
1657808043.3486245;30.6
1657808043.3511467;30.6
1657808043.3532667;30.6
1657808043.3560028;30.6
1657808043.3583167;30.6
1657808043.3608174;30.6
1657808043.3657544;30.8
1657808043.367741;30.8
1657808043.36974;30.8
1657808043.371986;30.8
1657808043.3742013;30.8
1657808043.3760295;30.8
1657808043.3784518;30.8
1657808043.3864336;30.8
1657808043.3891592;30.8
1657808043.393535;30.8
1657808043.3976672;30.8
1657808043.400292;30.8
1657808043.402474;30.8
1657808043.404821;30.8
1657808043.407044;30.8
1657808043.4096234;30.8
1657808043.4120889;30.8
1657808043.4144373;30.8
1657808043.4170089;30.8
1657808043.4190676;30.8
1657808043.4213078;30.8
1657808043.4235911;30.8
1657808043.4255464;30.8
1657808043.4276235;30.8
1657808043.429726;30.8
1657808043.4317112;30.8
1657808043.4337854;30.8
1657808043.4357061;30.8
1657808043.4376402;30.8
1657808043.4395876;30.8
1657808043.4414372;30.8
1657808043.4437523;30.8
1657808043.4462404;30.8
1657808043.4492052;30.8
1657808043.451682;30.8
1657808043.453726;30.8
1657808043.455742;30.8
1657808043.4595027;30.8
1657808043.46517;30.8
1657808043.4674144;30.8
1657808043.4702175;30.8
1657808043.4724033;30.8
1657808043.4746282;30.8
1657808043.4768538;30.8
1657808043.4792461;30.8
1657808043.4814713;30.8
1657808043.4834094;30.8
1657808043.4853432;30.8
1657808043.487801;30.8
1657808043.4902165;30.8
1657808043.4944503;30.8
1657808043.4968984;30.8
1657808043.499528;30.8
1657808043.5017729;30.8
1657808043.5039446;30.8
1657808043.5061176;30.8
1657808043.5092058;30.8
1657808043.5114875;30.8
1657808043.5141768;30.8
1657808043.5167732;30.8
1657808043.518888;30.8
1657808043.5210989;30.8
1657808043.5241888;30.8
1657808043.528385;30.8
1657808043.5317373;30.8
1657808043.5344687;30.8
1657808043.5366964;30.8
1657808043.5394945;30.8
1657808043.5419316;30.8
1657808043.5446522;30.8
1657808043.5468006;30.8
1657808043.549169;30.8
1657808043.5518353;30.8
1657808043.5539293;30.8
1657808043.5584655;30.8
1657808043.5605967;30.8
1657808043.5626924;30.8
1657808043.5654368;30.8
1657808043.567994;30.8
1657808043.5702856;30.8
1657808043.572942;30.8
1657808043.5753396;30.8
