time;ToF[cm]
1657807893.191107;30.7
1657807893.1923368;30.7
1657807893.1935625;30.7
1657807893.194791;30.7
1657807893.1960173;30.7
1657807893.1972444;30.7
1657807893.1984725;30.7
1657807893.1997023;30.7
1657807893.200932;30.7
1657807893.2021601;30.7
1657807893.2033947;30.7
1657807893.2047005;30.7
1657807893.205937;30.7
1657807893.2071667;30.7
1657807893.2085056;30.7
1657807893.209781;30.7
1657807893.2110293;30.7
1657807893.21227;30.7
1657807893.2135007;30.7
1657807893.2147315;30.7
1657807893.2159643;30.7
1657807893.2171955;30.7
1657807893.2184286;30.7
1657807893.2196658;30.7
1657807893.2209005;30.7
1657807893.222132;30.7
1657807893.2233639;30.7
1657807893.2245922;30.7
1657807893.2258215;30.7
1657807893.2270517;30.7
1657807893.2282822;30.7
1657807893.2295427;30.7
1657807893.2307863;30.7
1657807893.2320313;30.7
1657807893.2332728;30.7
1657807893.2362459;30.7
1657807893.2375083;30.7
1657807893.2387726;30.7
1657807893.2400072;30.7
1657807893.2412415;30.7
1657807893.2424738;30.7
1657807893.2437036;30.7
1657807893.2449353;30.7
1657807893.2461646;30.7
1657807893.2473936;30.7
1657807893.2486215;30.7
1657807893.2498755;30.7
1657807893.2511122;30.7
1657807893.2523422;30.7
1657807893.2535696;30.7
1657807893.2547975;30.7
1657807893.2560248;30.7
1657807893.2572536;30.7
1657807893.2584836;30.7
1657807893.2597146;30.7
1657807893.2609446;30.7
1657807893.2621903;30.7
1657807893.2634544;30.7
1657807893.2646854;30.7
1657807893.2659538;30.7
1657807893.267216;30.7
1657807893.2684524;30.7
1657807893.2696893;30.7
1657807893.2709262;30.7
1657807893.2721589;30.7
1657807893.2733886;30.7
1657807893.2746215;30.7
1657807893.2758505;30.7
1657807893.2770777;30.7
1657807893.278306;30.7
1657807893.279536;30.7
1657807893.2807689;30.7
1657807893.281999;30.7
1657807893.283228;30.7
1657807893.284454;30.7
1657807893.285682;30.7
1657807893.2869072;30.7
1657807893.288135;30.7
1657807893.2893646;30.7
1657807893.290595;30.7
1657807893.2918231;30.7
1657807893.2930515;30.7
1657807893.294279;30.7
1657807893.2955072;30.7
1657807893.2967348;30.7
1657807893.2979627;30.7
1657807893.2991931;30.7
1657807893.3004382;30.7
1657807893.3016713;30.7
1657807893.3029044;30.7
1657807893.3042383;30.7
1657807893.3055003;30.7
1657807893.306738;30.7
1657807893.3079703;30.7
1657807893.309203;30.7
1657807893.3104372;30.7
1657807893.3116686;30.7
1657807893.3128986;30.7
1657807893.3143868;30.7
1657807893.3156452;30.7
1657807893.3168802;30.7
1657807893.3181129;30.7
1657807893.3193479;30.7
1657807893.3205822;30.7
1657807893.321813;30.7
1657807893.3230457;30.7
1657807893.3242748;30.7
1657807893.3255038;30.7
1657807893.3267345;30.7
1657807893.327964;30.7
1657807893.3291934;30.7
1657807893.3321202;30.7
1657807893.333353;30.7
1657807893.334621;30.7
1657807893.335884;30.7
1657807893.33712;30.7
1657807893.3383527;30.7
1657807893.339592;30.7
1657807893.3408349;30.7
1657807893.3420987;30.7
1657807893.3433318;30.7
1657807893.3445637;30.7
1657807893.345813;30.7
1657807893.3470662;30.7
1657807893.348297;30.7
1657807893.3495286;30.7
1657807893.3507595;30.7
1657807893.3519864;30.7
1657807893.353216;30.7
1657807893.354447;30.7
1657807893.355676;30.7
1657807893.3569043;30.7
1657807893.3581345;30.7
1657807893.359363;30.7
1657807893.3605962;30.7
1657807893.3618257;30.7
1657807893.3630545;30.7
1657807893.3644433;30.7
1657807893.3659167;30.7
1657807893.3673782;30.7
1657807893.3687513;30.7
1657807893.3701417;30.7
1657807893.3714695;30.7
1657807893.3727117;30.7
1657807893.3739498;30.7
