time;ToF[cm]
1659331898.021525;15.9
1659331898.022748;15.9
1659331898.0239704;15.9
1659331898.0251963;15.9
1659331898.0264242;15.9
1659331898.0276506;15.9
1659331898.028883;15.9
1659331898.0301058;15.9
1659331898.03133;15.9
1659331898.0325558;15.9
1659331898.0337799;15.9
1659331898.0350072;15.9
1659331898.0362332;15.9
1659331898.0374591;15.9
1659331898.0386891;15.9
1659331898.039977;15.9
1659331898.0412152;15.9
1659331898.0424948;15.9
1659331898.0437381;15.9
1659331898.0449984;15.9
1659331898.0462358;15.9
1659331898.047467;15.9
1659331898.0486977;15.9
1659331898.0499477;15.9
1659331898.0511808;15.9
1659331898.0524085;15.9
1659331898.0536346;15.9
1659331898.054861;15.9
1659331898.0560894;15.9
1659331898.057316;15.9
1659331898.058548;15.9
1659331898.059774;15.9
1659331898.0610013;15.9
1659331898.062228;15.9
1659331898.0634522;15.9
1659331898.0646799;15.9
1659331898.06591;15.9
1659331898.0671377;15.9
1659331898.068369;15.9
1659331898.0695946;15.9
1659331898.0708191;15.9
1659331898.0720425;15.9
1659331898.0732663;15.9
1659331898.0744908;15.9
1659331898.0757196;15.9
1659331898.0769484;15.9
1659331898.0783365;15.9
1659331898.0796838;15.9
1659331898.0809357;15.9
1659331898.083864;15.9
1659331898.0851102;15.9
1659331898.086349;15.9
1659331898.087583;15.9
1659331898.0888157;15.9
1659331898.0900457;15.9
1659331898.0912747;15.9
1659331898.092502;15.9
1659331898.0937288;15.9
1659331898.0949786;15.9
1659331898.0962136;15.9
1659331898.0974424;15.9
1659331898.0986702;15.9
1659331898.099896;15.9
1659331898.1011229;15.9
1659331898.1023486;15.9
1659331898.1035738;15.9
1659331898.1048024;15.9
1659331898.1060317;15.9
1659331898.1072717;15.9
1659331898.108499;15.9
1659331898.1097238;15.9
1659331898.1109507;15.9
1659331898.1122139;15.9
1659331898.113438;15.9
1659331898.1146688;15.9
1659331898.1159213;15.9
1659331898.1171815;15.9
1659331898.1184125;15.9
1659331898.1196404;15.9
1659331898.1208649;15.9
1659331898.1220915;15.9
1659331898.1233177;15.9
1659331898.1245458;15.9
1659331898.1257758;15.9
1659331898.1270063;15.9
1659331898.1282313;15.9
1659331898.129458;15.9
1659331898.1306813;15.9
1659331898.1319056;15.9
1659331898.1331294;15.9
1659331898.134352;15.9
1659331898.1355996;15.9
1659331898.1368263;15.9
1659331898.1380534;15.9
1659331898.1392834;15.9
1659331898.140576;15.9
1659331898.1418087;15.9
1659331898.1430352;15.9
1659331898.1442592;15.9
1659331898.1454864;15.9
1659331898.1467142;15.9
1659331898.147939;15.9
1659331898.1491604;15.9
1659331898.1504195;15.9
1659331898.151718;15.9
1659331898.1529531;15.9
1659331898.1541848;15.9
1659331898.155419;15.9
1659331898.1566536;15.9
1659331898.1578863;15.9
1659331898.15912;15.9
1659331898.1603558;15.9
1659331898.1615884;15.9
1659331898.1628187;15.9
1659331898.1640518;15.9
1659331898.1652849;15.9
1659331898.1665144;15.9
1659331898.1677434;15.9
1659331898.1690137;15.9
1659331898.1702745;15.9
1659331898.1715064;15.9
1659331898.17274;15.9
1659331898.1739671;15.9
1659331898.1752143;15.9
1659331898.1764426;15.9
1659331898.1793675;15.9
1659331898.1805992;15.9
1659331898.1818275;15.9
1659331898.183058;15.9
1659331898.184288;15.9
1659331898.1855145;15.9
1659331898.1867414;15.9
1659331898.1879647;15.9
1659331898.189186;15.9
