MPUData GUnits:°/s - AUnits:g
LSM9DS1Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
Fx...Data G Units:rad/s - A Units:m/s^2 - m Units:gausss
time;MPU-Gx;MPU-Gy;MPU-Gz;MPU-Ax;MPU-Ay;MPU-Az;LSM-Gx;LSM-Gy;LSM-Gz;LSM-Ax;LSM-Ay;LSM-Az;LSM-Mx;LSM-My;LSM-Mz;Fx-Gx;Fx-Gy;Fx-Gz;Fx-Ax;Fx-Ay;Fx-Az;Fx-Mx;Fx-My;Fx-Mz
17510.563000179;-1.817;0.534;0.145;0.231;-0.198;0.977;-0.090;-0.119;-0.002;-0.543;0.488;13.331;-0.315;-0.805;-1.569;-0.004;-0.015;0.003;0.371;0.148;10.236;-103.100;-133.100;-309.600
17510.576621126;-1.802;0.550;0.168;0.231;-0.191;0.983;-0.085;-0.116;-0.002;-0.322;0.450;13.325;-0.320;-0.804;-1.563;-0.008;-0.008;0.001;0.345;0.177;10.287;-103.500;-132.600;-309.000
17510.590568752;-1.847;0.542;0.168;0.229;-0.191;0.973;-0.089;-0.119;-0.005;-0.470;0.510;13.216;-0.320;-0.804;-1.563;-0.010;-0.011;0.006;0.313;0.160;10.248;-103.300;-133.600;-308.800
17510.60424292;-1.832;0.519;0.153;0.226;-0.193;0.968;-0.086;-0.117;-0.006;-0.468;0.482;13.174;-0.319;-0.803;-1.567;-0.008;-0.017;0.003;0.318;0.151;10.213;-103.800;-133.400;-309.200
17510.618166694;-1.824;0.527;0.137;0.230;-0.192;0.977;-0.091;-0.118;-0.005;-0.465;0.526;13.152;-0.319;-0.803;-1.567;-0.012;-0.016;0.002;0.333;0.179;10.265;-103.600;-133.800;-309.400
17510.631701994;-1.817;0.565;0.183;0.231;-0.189;0.974;-0.088;-0.115;-0.004;-0.483;0.521;13.094;-0.321;-0.805;-1.568;-0.002;-0.006;0.004;0.325;0.184;10.311;-104.400;-132.800;-310.100
17510.645376829;-1.832;0.557;0.145;0.229;-0.198;0.974;-0.084;-0.119;-0.003;-0.476;0.513;12.938;-0.321;-0.805;-1.568;-0.007;-0.011;0.009;0.316;0.160;10.253;-102.800;-132.800;-308.600
17510.659009923;-1.817;0.542;0.168;0.226;-0.193;0.971;-0.084;-0.116;-0.002;-0.507;0.500;12.928;-0.313;-0.810;-1.557;-0.008;-0.012;0.009;0.316;0.144;10.217;-103.800;-133.400;-310.300
17510.672569427;-1.832;0.534;0.145;0.228;-0.192;0.970;-0.091;-0.123;-0.002;-0.485;0.528;12.939;-0.317;-0.808;-1.564;0.001;-0.014;0.002;0.313;0.146;10.251;-104.100;-133.300;-309.700
17510.686198466;-1.847;0.534;0.160;0.228;-0.197;0.979;-0.090;-0.121;-0.003;-0.479;0.514;12.945;-0.317;-0.808;-1.564;-0.007;-0.011;0.002;0.325;0.153;10.263;-103.300;-133.700;-308.400
17510.70089719;-1.840;0.542;0.137;0.229;-0.190;0.973;-0.086;-0.114;-0.001;-0.448;0.495;13.067;-0.318;-0.806;-1.569;-0.007;-0.014;0.003;0.309;0.141;10.260;-103.800;-133.300;-309.600
17510.714784206;-1.809;0.565;0.168;0.229;-0.193;0.978;-0.088;-0.126;-0.004;-0.475;0.474;13.112;-0.318;-0.806;-1.569;-0.010;-0.017;0.005;0.309;0.134;10.215;-103.500;-132.100;-309.000
